Авиакомпания,Тип ВС,Формат ТО,"Потребность авиакомпании, штук","Длительность, 
дней","Минимальное количество форм ТО, 
которое необходимо выполнить по контракту, штук",Примечание
C7,A319,C-Check,1,23,1,"В предстоящий сезон технического обслуживания, авиакомпании С7 требуется выполнить одну форму ТО D-Check для ВС типа A319. При этом, по договору предприятие обязано выполнить эту работу.  
Если это условие не будет выполнено, тогда предприятие должно будет выплатить авиакомпании неустойку в размере: 30000 * 0.7 * 23  = 483 000 руб.
Примечание: следует брать максимальную стоимость среди всех ангаров."
C7,A319,D-Check,2,40,2,
C7,A320,C-Check,4,25,3,
C7,A320,D-Check,1,35,1,
C7,A320,Redelivery,3,60,2,
C7,A320,Painting,12,10,6,
C7,A321,C-Check,2,27,2,
C7,A321,D-Check,1,52,1,
C7,A321,Redelivery,1,62,1,
C7,A321,Painting,4,12,4,
C7,737-800,C-Check,5,30,3,
C7,737-800,Painting,5,12,3,
C7,Ил-96-300,C-Check,2,50,1,
C7,Ту-154М,C-Check,2,40,2,
C7,Ту-154М,Painting,2,12,2,
Аэрофлот,A320,C-Check,5,30,5,
Аэрофлот,A320,D-Check,1,40,,
Аэрофлот,A320,Painting,15,12,10,
Аэрофлот,A321,C-Check,3,35,2,
Аэрофлот,A321,D-Check,1,65,,
Аэрофлот,A321,Redelivery,1,70,1,
Аэрофлот,A321,Painting,4,15,2,
Аэрофлот,737-800,C-Check,6,32,,
Аэрофлот,737-800,D-Check,2,40,2,
Аэрофлот,737-800,Painting,8,15,,
Аэрофлот,Ил-96-400,C-Check,4,56,,
Аэрофлот,Ил-96-400,Painting,4,20,2,
Аэрофлот,Ту-154М,C-Check,3,42,,
Аэрофлот,Ту-154М,Painting,4,18,,
Уральские Авиалинии,A319,C-Check,2,18,1,
Уральские Авиалинии,A319,Painting,2,15,,
Уральские Авиалинии,A319,Redelivery,1,50,1,
Уральские Авиалинии,A320,C-Check,4,25,,
Уральские Авиалинии,A321,C-Check,1,27,,
Уральские Авиалинии,A321,Painting,3,12,,
Уральские Авиалинии,Ту-154М,C-Check,1,40,1,
Уральские Авиалинии,Ту-154М,Painting,1,12,1,
Победа,737-200,C-Check,2,28,,
Победа,737-200,Painting,3,8,,
Победа,737-300,C-Check,4,30,2,
Победа,737-300,Painting,3,8,,
Победа,737-800,C-Check,6,35,,
Победа,737-800,Painting,5,10,2,
Алроса,Ан-24,C-Check,4,30,,
Алроса,Ан-24,Painting,2,10,,
Алроса,Ан-124,C-Check,2,70,,
Алроса,A320,C-Check,6,30,,
Алроса,A321,C-Check,2,35,1,
Алроса,A321,Painting,3,15,,
Ютэир,737-200,C-Check,4,26,,
Ютэир,737-200,D-Check,1,42,,
Ютэир,737-200,Painting,5,8,,
Ютэир,737-300,D-Check,1,42,,
Ютэир,737-300,Painting,1,8,,
Ютэир,Ан-24,C-Check,5,32,,
Ютэир,Ан-24,Painting,7,8,,
Россия,Ан-124,C-Check,3,80,,
Россия,Ан-124,Painting,4,25,,
Россия,Ил-96-300,C-Check,4,45,1,
Россия,Ил-96-300,Painting,3,18,1,
Россия,A321,C-Check,3,40,3,
Россия,A321,D-Check,1,50,,
Россия,A321,Redelivery,1,70,1,
Россия,A321,Painting,5,12,5,
Белавия,737-200,C-Check,6,28,,
Белавия,737-200,D-Check,2,44,,
Белавия,737-200,Painting,1,10,,
Белавия,737-300,C-Check,3,33,,
Белавия,737-300,D-Check,2,47,,
Белавия,737-300,Painting,8,12,,
Белавия,Ту-154М,C-Check,2,35,,
Белавия,Ту-154М,Painting,1,10,1,
Белавия,Ан-24,C-Check,2,34,,
